serial_number;tree_location;date_time;date (mdy);time;rh;t_rh;t;l1;battery
SN319439 (jsi_pnt_1);T27;8/3/2016 12:00:00 PM;8/3/2016;12:00:00 PM;80,2;23,12999916;22,3;2223,633057;3,89
SN319439 (jsi_pnt_1);T27;8/3/2016 4:00:00 PM;8/3/2016;4:00:00 PM;91,9;18,65999985;18,5;38,33850098;3,89
SN319439 (jsi_pnt_1);T27;8/3/2016 8:00:00 PM;8/3/2016;8:00:00 PM;92,3;17,57999992;17,6;0;3,89
SN319439 (jsi_pnt_1);T27;8/4/2016 12:00:00 AM;8/4/2016;12:00:00 AM;93;17;16,9;0;3,89
SN319439 (jsi_pnt_1);T27;8/4/2016 4:00:00 AM;8/4/2016;4:00:00 AM;93,3;16,12000084;16;0;3,89
SN319439 (jsi_pnt_1);T27;8/4/2016 8:00:00 AM;8/4/2016;8:00:00 AM;93,7;15,81000042;15,6;284,800293;3,89
SN319439 (jsi_pnt_1);T27;8/4/2016 12:00:00 PM;8/4/2016;12:00:00 PM;90,8;19,42000008;20,1;2141,479004;3,89
SN319439 (jsi_pnt_1);T27;8/4/2016 4:00:00 PM;8/4/2016;4:00:00 PM;90,6;19,64999962;19,4;1111,816528;3,89
SN319439 (jsi_pnt_1);T27;8/4/2016 8:00:00 PM;8/4/2016;8:00:00 PM;92,2;18,63999939;18,5;0;3,89
SN319439 (jsi_pnt_1);T27;8/5/2016 12:00:00 AM;8/5/2016;12:00:00 AM;92,7;16,32999992;16,3;0;3,89
SN319439 (jsi_pnt_1);T27;8/5/2016 4:00:00 AM;8/5/2016;4:00:00 AM;93,1;14,96000004;14,9;0;3,89
SN319439 (jsi_pnt_1);T27;8/5/2016 8:00:00 AM;8/5/2016;8:00:00 AM;93,6;15,72000027;15,4;377,9080811;3,89
SN319439 (jsi_pnt_1);T27;8/6/2016 4:00:00 AM;8/6/2016;4:00:00 AM;91,8;16,71999931;16,8;0;3,89
SN319439 (jsi_pnt_1);T27;8/6/2016 8:00:00 AM;8/6/2016;8:00:00 AM;91,7;15,96000004;15,7;169,78479;3,89
SN319439 (jsi_pnt_1);T27;8/7/2016 4:00:00 AM;8/7/2016;4:00:00 AM;93,2;15,72999954;15,6;0;3,89
SN319439 (jsi_pnt_1);T27;8/7/2016 8:00:00 AM;8/7/2016;8:00:00 AM;93,3;15,80000019;15,6;158,8309326;3,89
SN319439 (jsi_pnt_1);T27;8/2/2016 4:00:00 PM;8/2/2016;4:00:00 PM;64,8;26,47999954;24,8;3434,03418;3,88
SN319439 (jsi_pnt_1);T27;8/5/2016 12:00:00 PM;8/5/2016;12:00:00 PM;89,8;19,95999908;20,4;2393,417969;3,88
SN319439 (jsi_pnt_1);T27;8/5/2016 4:00:00 PM;8/5/2016;4:00:00 PM;88,8;22,78000069;22,4;2251,017578;3,88
SN319439 (jsi_pnt_1);T27;8/5/2016 8:00:00 PM;8/5/2016;8:00:00 PM;92;19,63999939;19,6;0;3,88
SN319439 (jsi_pnt_1);T27;8/6/2016 12:00:00 AM;8/6/2016;12:00:00 AM;90,7;18,95000076;18,9;0;3,88
SN319439 (jsi_pnt_1);T27;8/6/2016 12:00:00 PM;8/6/2016;12:00:00 PM;78,1;22,5;21,8;859,8778076;3,88
SN319439 (jsi_pnt_1);T27;8/6/2016 4:00:00 PM;8/6/2016;4:00:00 PM;91,4;18,81999969;19,1;279,3233643;3,88
SN319439 (jsi_pnt_1);T27;8/6/2016 8:00:00 PM;8/6/2016;8:00:00 PM;92,4;18,48999977;18,3;0;3,88
SN319439 (jsi_pnt_1);T27;8/7/2016 12:00:00 AM;8/7/2016;12:00:00 AM;92,4;16,87000084;16,9;0;3,88
SN319439 (jsi_pnt_1);T27;8/7/2016 12:00:00 PM;8/7/2016;12:00:00 PM;89;19,25;19,3;865,3547363;3,88
SN319439 (jsi_pnt_1);T27;8/7/2016 4:00:00 PM;8/7/2016;4:00:00 PM;89,6;21,44000053;21,9;2760,37207;3,88
SN319439 (jsi_pnt_1);T27;8/7/2016 8:00:00 PM;8/7/2016;8:00:00 PM;91,3;19,18000031;19,2;0;3,88
SN319439 (jsi_pnt_1);T27;8/8/2016 12:00:00 AM;8/8/2016;12:00:00 AM;92,4;18,04000092;18;0;3,88
SN319439 (jsi_pnt_1);T27;8/8/2016 4:00:00 AM;8/8/2016;4:00:00 AM;92,8;16,45000076;16,5;0;3,88
SN319439 (jsi_pnt_1);T27;8/8/2016 8:00:00 AM;8/8/2016;8:00:00 AM;93,3;16;15,8;273,8464355;3,88
